3974197223,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Jaylen Warren (30330686),Brian Robinson (30330670),Courtland Sutton (30330912),Tyler Lockett (30330896),Amari Cooper (30330894),Zach Ertz (30331272),Travis Kelce (30331244),Chiefs (30331480),,QB,Joshua Dobbs (30330594),Joshua Dobbs,30330594,QB,5300,ARI@SEA 10/22/2023 04:05PM ET,ARI,15.64666667,15.64666667
3974195803,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Isiah Pacheco (30330668),Josh Jacobs (30330648),Mike Evans (30330882),Terry McLaurin (30330908),Elijah Moore (30330934),Mark Andrews (30331246),Christian Watson (30330904),Seahawks (30331472),,WR,Marquise Brown (30330910),Marquise Brown,30330910,WR/FLEX,5300,ARI@SEA 10/22/2023 04:05PM ET,ARI,13.86,13.86
3974203582,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Jerome Ford (30330682),Michael Pittman (30330888),Amari Cooper (30330894),Jahan Dotson (30330924),Sam LaPorta (30331248),Mike Evans (30330882),Lions (30331477),,RB,AJ Dillon (30330676),AJ Dillon,30330676,RB/FLEX,5300,GB@DEN 10/22/2023 04:25PM ET,GB,8.46,8.46
3974197269,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Najee Harris (30330680),Zach Evans (30330798),Keenan Allen (30330874),Jaxon Smith-Njigba (30330940),Amon-Ra St. Brown (30330878),Dawson Knox (30331284),Travis Kelce (30331244),Giants (30331474),,QB,Jimmy Garoppolo (30330595),Jimmy Garoppolo,30330595,QB,5200,LV@CHI 10/22/2023 01:00PM ET,LV,0,0
3974197237,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Jahmyr Gibbs (30330664),Roschon Johnson (30330712),Tyler Lockett (30330896),Marquise Brown (30330910),Stefon Diggs (30330872),Darren Waller (30331250),Christian Watson (30330904),Lions (30331477),,QB,Gardner Minshew II (30330597),Gardner Minshew II,30330597,QB,5200,CLE@IND 10/22/2023 01:00PM ET,IND,13.65,13.65
3974197241,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Kenneth Walker III (30330656),Josh Jacobs (30330648),Courtland Sutton (30330912),Amari Cooper (30330894),Zay Flowers (30330902),Michael Mayer (30331288),Travis Kelce (30331244),Ravens (30331479),,QB,Desmond Ridder (30330596),Desmond Ridder,30330596,QB,5200,ATL@TB 10/22/2023 01:00PM ET,ATL,13.18,13.18
3974197275,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Isiah Pacheco (30330668),Jerome Ford (30330682),Mike Evans (30330882),Terry McLaurin (30330908),Wan'Dale Robinson (30330952),Mark Andrews (30331246),Stefon Diggs (30330872),Broncos (30331478),,RB,Najee Harris (30330680),Najee Harris,30330680,RB/FLEX,5200,PIT@LAR 10/22/2023 04:05PM ET,PIT,10.87666667,10.87666667
3974197252,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Brian Robinson (30330670),Rhamondre Stevenson (30330672),Keenan Allen (30330874),Kadarius Toney (30330944),Elijah Moore (30330934),Luke Musgrave (30331270),Travis Kelce (30331244),Cardinals (30331481),,WR,Courtland Sutton (30330912),Courtland Sutton,30330912,WR/FLEX,5200,GB@DEN 10/22/2023 04:25PM ET,DEN,11.78666667,11.78666667
3974195814,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Najee Harris (30330680),Jaylen Warren (30330686),Stefon Diggs (30330872),Amari Cooper (30330894),Curtis Samuel (30330938),Sam LaPorta (30331248),Puka Nacua (30330880),Chiefs (30331480),,RB,Joshua Kelley (30330678),Joshua Kelley,30330678,RB/FLEX,5200,LAC@KC 10/22/2023 04:25PM ET,LAC,4.02,4.02
3974203573,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Kenneth Walker III (30330656),Zach Evans (30330798),Marquise Brown (30330910),Stefon Diggs (30330872),Mike Evans (30330882),David Njoku (30331268),Tyler Lockett (30330896),Giants (30331474),,RB,Jerome Ford (30330682),Jerome Ford,30330682,RB/FLEX,5100,CLE@IND 10/22/2023 01:00PM ET,CLE,13.28,13.28
3974197271,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Jerome Ford (30330682),Josh Palmer (30330920),Terry McLaurin (30330908),Elijah Moore (30330934),Mark Andrews (30331246),Travis Kelce (30331244),Cardinals (30331481),,QB,Tyrod Taylor (30330598),Tyrod Taylor,30330598,QB,5100,WAS@NYG 10/22/2023 01:00PM ET,NYG,0,0
3974195827,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Josh Jacobs (30330648),Rachaad White (30330684),Courtland Sutton (30330912),Stefon Diggs (30330872),Amari Cooper (30330894),Zach Ertz (30331272),Christian Watson (30330904),Lions (30331477),,RB,Rachaad White (30330684),Rachaad White,30330684,RB/FLEX,5100,ATL@TB 10/22/2023 01:00PM ET,TB,12.59,12.59
3974203576,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Jahmyr Gibbs (30330664),Brian Robinson (30330670),Keenan Allen (30330874),Jaxon Smith-Njigba (30330940),Amon-Ra St. Brown (30330878),Dawson Knox (30331284),Sam LaPorta (30331248),Lions (30331477),,WR,Drake London (30330914),Drake London,30330914,WR/FLEX,5100,ATL@TB 10/22/2023 01:00PM ET,ATL,10.95333333,10.95333333
3974197207,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Kenneth Walker III (30330656),Najee Harris (30330680),Tyler Lockett (30330896),Jaxon Smith-Njigba (30330940),Zay Flowers (30330902),Travis Kelce (30331244),Christian Watson (30330904),Ravens (30331479),,RB,Kareem Hunt (30330690),Kareem Hunt,30330690,RB/FLEX,5000,CLE@IND 10/22/2023 01:00PM ET,CLE,9.623333333,9.623333333
3974195805,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Josh Jacobs (30330648),Jerome Ford (30330682),Michael Pittman (30330888),Amari Cooper (30330894),Terry McLaurin (30330908),Mark Andrews (30331246),Isiah Pacheco (30330668),Patriots (30331483),,TE,Darren Waller (30331250),Darren Waller,30331250,TE/FLEX,5000,WAS@NYG 10/22/2023 01:00PM ET,NYG,9.9,9.9
3974197276,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Zach Evans (30330798),Jahmyr Gibbs (30330664),Courtland Sutton (30330912),Marquise Brown (30330910),Elijah Moore (30330934),Travis Kelce (30331244),Christian Watson (30330904),Giants (30331474),,QB,Kenny Pickett (30330599),Kenny Pickett,30330599,QB,5000,PIT@LAR 10/22/2023 04:05PM ET,PIT,15.56,15.56
3974197267,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Brian Robinson (30330670),Roschon Johnson (30330712),Stefon Diggs (30330872),Amon-Ra St. Brown (30330878),Kendrick Bourne (30330928),Darren Waller (30331250),Courtland Sutton (30330912),Chiefs (30331480),,RB,Jaylen Warren (30330686),Jaylen Warren,30330686,RB/FLEX,5000,PIT@LAR 10/22/2023 04:05PM ET,PIT,11.09666667,11.09666667
3974197246,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Kenneth Walker III (30330656),Jaylen Warren (30330686),Keenan Allen (30330874),Amari Cooper (30330894),Curtis Samuel (30330938),Darren Waller (30331250),Sam LaPorta (30331248),Seahawks (30331472),,WR,Diontae Johnson (30330916),Diontae Johnson,30330916,WR/FLEX,5000,PIT@LAR 10/22/2023 04:05PM ET,PIT,10.69,10.69
3974197230,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Isiah Pacheco (30330668),Jerome Ford (30330682),Marquise Brown (30330910),Michael Pittman (30330888),Elijah Moore (30330934),Travis Kelce (30331244),Tyler Lockett (30330896),Lions (30331477),,RB,Jaleel McLaughlin (30330688),Jaleel McLaughlin,30330688,RB/FLEX,5000,GB@DEN 10/22/2023 04:25PM ET,DEN,8.48,8.48
3974203583,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Josh Jacobs (30330648),Brian Robinson (30330670),Courtland Sutton (30330912),Stefon Diggs (30330872),Terry McLaurin (30330908),Luke Musgrave (30331270),Christian Watson (30330904),Cardinals (30331481),,RB,Craig Reynolds (30330694),Craig Reynolds,30330694,RB/FLEX,4900,DET@BAL 10/22/2023 01:00PM ET,DET,5.993333333,5.993333333
3974195828,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Brian Robinson (30330670),Rhamondre Stevenson (30330672),Stefon Diggs (30330872),Amari Cooper (30330894),Wan'Dale Robinson (30330952),Logan Thomas (30331266),Travis Kelce (30331244),Lions (30331477),,QB,Brian Hoyer (30330601),Brian Hoyer,30330601,QB,4900,LV@CHI 10/22/2023 01:00PM ET,LV,5.616666667,5.616666667
3974195822,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Najee Harris (30330680),Zach Evans (30330798),Puka Nacua (30330880),Amon-Ra St. Brown (30330878),Zay Flowers (30330902),Dawson Knox (30331284),Kenneth Walker III (30330656),Giants (30331474),,QB,Tyson Bagent (30330602),Tyson Bagent,30330602,QB,4900,LV@CHI 10/22/2023 01:00PM ET,CHI,12.15666667,12.15666667
3974195808,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Rachaad White (30330684),Jerome Ford (30330682),Keenan Allen (30330874),Tyler Lockett (30330896),Amari Cooper (30330894),Darren Waller (30331250),Isiah Pacheco (30330668),Patriots (30331483),,QB,Mac Jones (30330600),Mac Jones,30330600,QB,4900,BUF@NE 10/22/2023 01:00PM ET,NE,12.56666667,12.56666667
3974197232,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Josh Jacobs (30330648),Jahmyr Gibbs (30330664),Marquise Brown (30330910),Terry McLaurin (30330908),Elijah Moore (30330934),Sam LaPorta (30331248),Travis Kelce (30331244),Falcons (30331476),,RB,Keaontay Ingram (30330692),Keaontay Ingram,30330692,RB/FLEX,4900,ARI@SEA 10/22/2023 04:05PM ET,ARI,7.44,7.44
3974195809,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Najee Harris (30330680),Bijan Robinson (30330650),Josh Palmer (30330920),Stefon Diggs (30330872),Mike Evans (30330882),Mark Andrews (30331246),Zach Ertz (30331272),Ravens (30331479),,WR,Romeo Doubs (30330918),Romeo Doubs,30330918,WR/FLEX,4900,GB@DEN 10/22/2023 04:25PM ET,GB,10.49666667,10.49666667
3974195799,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Kenneth Walker III (30330656),Najee Harris (30330680),Kadarius Toney (30330944),Rondale Moore (30330970),Amari Cooper (30330894),Mark Andrews (30331246),Travis Kelce (30331244),Chiefs (30331480),,RB,Gus Edwards (30330698),Gus Edwards,30330698,RB/FLEX,4800,DET@BAL 10/22/2023 01:00PM ET,BAL,9.386666667,9.386666667
3974197239,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Christian Watson (30330904),Stefon Diggs (30330872),Elijah Moore (30330934),Logan Thomas (30331266),Keenan Allen (30330874),Cardinals (30331481),,RB,D'Onta Foreman (30330704),D'Onta Foreman,30330704,RB/FLEX,4800,LV@CHI 10/22/2023 01:00PM ET,CHI,8.556666667,8.556666667
3974197218,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Isiah Pacheco (30330668),Roschon Johnson (30330712),Courtland Sutton (30330912),Tyler Lockett (30330896),Stefon Diggs (30330872),Darren Waller (30331250),Christian Watson (30330904),Giants (30331474),,QB,P.J. Walker (30330606),P.J. Walker,30330606,QB,4800,CLE@IND 10/22/2023 01:00PM ET,CLE,14.94666667,14.94666667
3974195796,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Kenneth Walker III (30330656),Zach Evans (30330798),Kadarius Toney (30330944),Marquise Brown (30330910),Amari Cooper (30330894),Sam LaPorta (30331248),Travis Kelce (30331244),Patriots (30331483),,QB,Malik Cunningham (30330605),Malik Cunningham,30330605,QB,4800,BUF@NE 10/22/2023 01:00PM ET,NE,0.433333333,0.433333333
3974197277,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Jaylen Warren (30330686),Josh Jacobs (30330648),Mike Evans (30330882),Zay Flowers (30330902),Terry McLaurin (30330908),Michael Mayer (30331288),Amon-Ra St. Brown (30330878),Cardinals (30331481),,RB,Ezekiel Elliott (30330700),Ezekiel Elliott,30330700,RB/FLEX,4800,BUF@NE 10/22/2023 01:00PM ET,NE,7.34,7.34
3974197202,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Brian Robinson (30330670),Jerome Ford (30330682),Stefon Diggs (30330872),Elijah Moore (30330934),Curtis Samuel (30330938),Luke Musgrave (30331270),Travis Kelce (30331244),Cardinals (30331481),,RB,Matt Breida (30330696),Matt Breida,30330696,RB/FLEX,4800,WAS@NYG 10/22/2023 01:00PM ET,NYG,2.666666667,2.666666667
3974195811,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Isiah Pacheco (30330668),Brian Robinson (30330670),Rondale Moore (30330970),Michael Pittman (30330888),Amari Cooper (30330894),Mark Andrews (30331246),Keenan Allen (30330874),Cardinals (30331481),,QB,Mitch Trubisky (30330603),Mitch Trubisky,30330603,QB,4800,PIT@LAR 10/22/2023 04:05PM ET,PIT,0,0
3974197211,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Jahmyr Gibbs (30330664),Christian Watson (30330904),Courtland Sutton (30330912),Amon-Ra St. Brown (30330878),Logan Thomas (30331266),Mark Andrews (30331246),Seahawks (30331472),,RB,Emari Demercado (30330702),Emari Demercado,30330702,RB/FLEX,4800,ARI@SEA 10/22/2023 04:05PM ET,ARI,4.593333333,4.593333333
3974197214,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Josh Jacobs (30330648),Rachaad White (30330684),Courtland Sutton (30330912),Tyler Lockett (30330896),Marquise Brown (30330910),Sam LaPorta (30331248),Travis Kelce (30331244),Patriots (30331483),,QB,Easton Stick (30330604),Easton Stick,30330604,QB,4800,LAC@KC 10/22/2023 04:25PM ET,LAC,0,0
3974195816,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Zach Evans (30330798),Jerome Ford (30330682),Michael Pittman (30330888),Amari Cooper (30330894),Terry McLaurin (30330908),Darren Waller (30331250),Cooper Kupp (30330870),Chiefs (30331480),,WR,Joshua Palmer (30330920),Joshua Palmer,30330920,WR/FLEX,4800,LAC@KC 10/22/2023 04:25PM ET,LAC,12.45333333,12.45333333
3974195825,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Najee Harris (30330680),Zay Flowers (30330902),Kendrick Bourne (30330928),Elijah Moore (30330934),Travis Kelce (30331244),Christian Watson (30330904),Ravens (30331479),,QB,Tyler Huntley (30330610),Tyler Huntley,30330610,QB,4700,DET@BAL 10/22/2023 01:00PM ET,BAL,0,0
3974195829,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Kenneth Walker III (30330656),Najee Harris (30330680),Amon-Ra St. Brown (30330878),Mike Evans (30330882),Wan'Dale Robinson (30330952),Mark Andrews (30331246),Josh Palmer (30330920),Giants (30331474),,QB,Teddy Bridgewater (30330612),Teddy Bridgewater,30330612,QB,4700,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
3974195786,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Josh Jacobs (30330648),Jerome Ford (30330682),Amari Cooper (30330894),Terry McLaurin (30330908),Josh Downs (30330926),Darren Waller (30331250),Keenan Allen (30330874),Cardinals (30331481),,QB,Aidan O'Connell (30330607),Aidan O'Connell,30330607,QB,4700,LV@CHI 10/22/2023 01:00PM ET,LV,9.646666667,9.646666667
3974195830,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Jahmyr Gibbs (30330664),Roschon Johnson (30330712),Marquise Brown (30330910),Stefon Diggs (30330872),Elijah Moore (30330934),Sam LaPorta (30331248),Tyler Lockett (30330896),Giants (30331474),,RB,Zamir White (30330708),Zamir White,30330708,RB/FLEX,4700,LV@CHI 10/22/2023 01:00PM ET,LV,2.46,2.46
3974195824,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Isiah Pacheco (30330668),Jaylen Warren (30330686),Christian Watson (30330904),Courtland Sutton (30330912),Cooper Kupp (30330870),Zach Ertz (30331272),Travis Kelce (30331244),Patriots (30331483),,QB,Dorian Thompson-Robinson (30330609),Dorian Thompson-Robinson,30330609,QB,4700,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
3974197208,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Zach Evans (30330798),Tyler Lockett (30330896),Michael Pittman (30330888),Amari Cooper (30330894),Logan Thomas (30331266),Travis Kelce (30331244),Seahawks (30331472),,RB,Antonio Gibson (30330706),Antonio Gibson,30330706,RB/FLEX,4700,WAS@NYG 10/22/2023 01:00PM ET,WAS,6.443333333,6.443333333
3974197221,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Najee Harris (30330680),Jerome Ford (30330682),Cooper Kupp (30330870),Mike Evans (30330882),Curtis Samuel (30330938),Dawson Knox (30331284),Keenan Allen (30330874),Cardinals (30331481),,QB,Brett Rypien (30330611),Brett Rypien,30330611,QB,4700,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0
3974197253,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Josh Jacobs (30330648),Rhamondre Stevenson (30330672),Stefon Diggs (30330872),Amari Cooper (30330894),Terry McLaurin (30330908),Luke Musgrave (30331270),Courtland Sutton (30330912),Lions (30331477),,QB,Drew Lock (30330608),Drew Lock,30330608,QB,4700,ARI@SEA 10/22/2023 04:05PM ET,SEA,0,0
3974195807,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Isiah Pacheco (30330668),Jahmyr Gibbs (30330664),Courtland Sutton (30330912),Marquise Brown (30330910),Zay Flowers (30330902),Travis Kelce (30331244),Christian Watson (30330904),Cardinals (30331481),,RB,Jerick McKinnon (30330710),Jerick McKinnon,30330710,RB/FLEX,4700,LAC@KC 10/22/2023 04:25PM ET,KC,5.896666667,5.896666667
3974203590,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Brian Robinson (30330670),Cooper Kupp (30330870),Jahan Dotson (30330924),Elijah Moore (30330934),Sam LaPorta (30331248),Mark Andrews (30331246),Chiefs (30331480),,WR,Rashee Rice (30330922),Rashee Rice,30330922,WR/FLEX,4700,LAC@KC 10/22/2023 04:25PM ET,KC,9.446666667,9.446666667
3974197240,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Rhamondre Stevenson (30330672),Jerome Ford (30330682),Courtland Sutton (30330912),Tyler Lockett (30330896),Amari Cooper (30330894),Travis Kelce (30331244),Christian Watson (30330904),Giants (30331474),,RB,Justice Hill (30330714),Justice Hill,30330714,RB/FLEX,4600,DET@BAL 10/22/2023 01:00PM ET,BAL,7.283333333,7.283333333
3974197255,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Zach Evans (30330798),Josh Jacobs (30330648),Keenan Allen (30330874),Stefon Diggs (30330872),Terry McLaurin (30330908),Michael Mayer (30331288),Darren Waller (30331250),Cardinals (30331481),,RB,Roschon Johnson (30330712),Roschon Johnson,30330712,RB/FLEX,4600,LV@CHI 10/22/2023 01:00PM ET,CHI,10.49333333,10.49333333
3974197219,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Jaylen Warren (30330686),Rachaad White (30330684),Cooper Kupp (30330870),Amon-Ra St. Brown (30330878),Elijah Moore (30330934),Mark Andrews (30331246),Kadarius Toney (30330944),Cardinals (30331481),,QB,Sam Ehlinger (30330618),Sam Ehlinger,30330618,QB,4600,CLE@IND 10/22/2023 01:00PM ET,IND,0,0
3974197213,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Kenneth Walker III (30330656),Jayden Reed (30330956),Marquise Brown (30330910),Amari Cooper (30330894),Dawson Knox (30331284),Travis Kelce (30331244),Ravens (30331479),,QB,Kyle Allen (30330616),Kyle Allen,30330616,QB,4600,BUF@NE 10/22/2023 01:00PM ET,BUF,0,0
3974195804,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Courtland Sutton (30330912),Josh Palmer (30330920),Stefon Diggs (30330872),Sam LaPorta (30331248),Christian Watson (30330904),Browns (30331471),,QB,Jacoby Brissett (30330615),Jacoby Brissett,30330615,QB,4600,WAS@NYG 10/22/2023 01:00PM ET,WAS,0,0
3974197272,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Javonte Williams (30330674),Roschon Johnson (30330712),Christian Watson (30330904),Tyler Lockett (30330896),Rondale Moore (30330970),Travis Kelce (30331244),Keenan Allen (30330874),Giants (30331474),,WR,Jahan Dotson (30330924),Jahan Dotson,30330924,WR/FLEX,4600,WAS@NYG 10/22/2023 01:00PM ET,WAS,9.083333333,9.083333333
3974203586,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Kenneth Walker III (30330656),Josh Jacobs (30330648),Amari Cooper (30330894),Terry McLaurin (30330908),Wan'Dale Robinson (30330952),Mark Andrews (30331246),Romeo Doubs (30330918),Bills (30331464),,QB,Taylor Heinicke (30330614),Taylor Heinicke,30330614,QB,4600,ATL@TB 10/22/2023 01:00PM ET,ATL,0,0
3974195793,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Isiah Pacheco (30330668),Zach Evans (30330798),Amon-Ra St. Brown (30330878),Zay Flowers (30330902),Elijah Moore (30330934),Darren Waller (30331250),Stefon Diggs (30330872),Cardinals (30331481),,QB,Jarrett Stidham (30330613),Jarrett Stidham,30330613,QB,4600,GB@DEN 10/22/2023 04:25PM ET,DEN,0,0
3974195788,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Brian Robinson (30330670),Jerome Ford (30330682),Courtland Sutton (30330912),Marquise Brown (30330910),Curtis Samuel (30330938),Travis Kelce (30331244),Christian Watson (30330904),Chiefs (30331480),,QB,Blaine Gabbert (30330617),Blaine Gabbert,30330617,QB,4600,LAC@KC 10/22/2023 04:25PM ET,KC,0,0
3974197259,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Najee Harris (30330680),Jahmyr Gibbs (30330664),Stefon Diggs (30330872),Amari Cooper (30330894),Kendrick Bourne (30330928),Darren Waller (30331250),Sam LaPorta (30331248),Seahawks (30331472),,QB,Nathan Peterman (30330621),Nathan Peterman,30330621,QB,4500,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
3974195821,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Kenneth Walker III (30330656),Josh Jacobs (30330648),Mike Evans (30330882),Terry McLaurin (30330908),Elijah Moore (30330934),Dawson Knox (30331284),Travis Kelce (30331244),Lions (30331477),,RB,Travis Homer (30330722),Travis Homer,30330722,RB/FLEX,4500,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
3974203588,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Aaron Jones (30330658),Isiah Pacheco (30330668),Christian Watson (30330904),Courtland Sutton (30330912),Tyler Lockett (30330896),Luke Musgrave (30331270),Keenan Allen (30330874),Ravens (30331479),,WR,Josh Downs (30330926),Josh Downs,30330926,WR/FLEX,4500,CLE@IND 10/22/2023 01:00PM ET,IND,9.426666667,9.426666667
3974203585,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Rhamondre Stevenson (30330672),Jerome Ford (30330682),Amon-Ra St. Brown (30330878),Michael Pittman (30330888),Amari Cooper (30330894),Mark Andrews (30331246),Rondale Moore (30330970),Giants (30331474),,QB,Bailey Zappe (30330620),Bailey Zappe,30330620,QB,4500,BUF@NE 10/22/2023 01:00PM ET,NE,0,0
3974195812,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Bijan Robinson (30330650),Rachaad White (30330684),Tyler Lockett (30330896),Marquise Brown (30330910),Mike Evans (30330882),Logan Thomas (30331266),Travis Kelce (30331244),Patriots (30331483),,QB,Kyle Trask (30330619),Kyle Trask,30330619,QB,4500,ATL@TB 10/22/2023 01:00PM ET,TB,0,0
